RUC|NOMBRE_DE_ENTIDAD|DEPARTAMENTO|PROVINCIA|DISTRITO|CODIGO_SIAF|CODCONSUCODE|ESTADO|ULTIMAACTUALIZACION
20542575621|GOBIERNO REGIONAL DE PASCO - UNIDAD DE GESTION EDUCATIVA LOCAL PASCO|PASCO|PASCO|YANACANCHA|1461|200525|Activo|20/05/14
20605830383|GOBIERNO REGIONAL DE PASCO - UNIDAD DE GESTIÓN EDUCATIVA PUERTO BERMÚDEZ|PASCO|OXAPAMPA|PUERTO BERMUDEZ|1725|204730|Activo|23/06/21
20568500157|GOBIERNO REGIONAL DE PASCO - UNIDAD EJECUTORA PASCO SELVA CENTRAL|PASCO|OXAPAMPA|OXAPAMPA|1460|200515|Activo|17/07/13
20489252270|GOBIERNO REGIONAL DE PASCO SEDE CENTRAL|PASCO|PASCO|YANACANCHA|0885|47|Activo|17/07/13
20193980644|GOBIERNO REGIONAL DE PASCO-SALUD|PASCO|PASCO|CHAUPIMARCA|889|10548|Activo|17/07/13
20194048034|GOBIERNO REGIONAL DE PASCO-SALUD AIS HOSPITAL DANIEL A.CARRION|PASCO|PASCO|CHAUPIMARCA|890|10549|Activo|17/07/13
20191045671|GOBIERNO REGIONAL DE PASCO-SALUD AIS UTES OXAPAMPA|PASCO|OXAPAMPA|OXAPAMPA|891|10550|Activo|17/07/13
20489425123|GOBIERNO REGIONAL DE PASCO-UGEL DANIEL ALCIDES CARRION|PASCO|DANIEL ALCIDES CARRION|YANAHUANCA|1227|200067|Activo|17/07/13
20600106130|GOBIERNO REGIONAL DE PASCO-UNIDAD EJECUTORA SUB REGION DANIEL ALCIDES CARRION|PASCO|DANIEL ALCIDES CARRION|YANAHUANCA|1620|201605|Activo|12/05/15
20315959595|GOBIERNO REGIONAL DE PIURA - DIRECCIÓN  REGIONAL DE AGRICULTURA|PIURA|PIURA|CASTILLA|894|10553|Activo|17/07/13
20316018786|GOBIERNO REGIONAL DE PIURA - DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES|PIURA|PIURA|PIURA|895|10554|Activo|17/07/13
20315880069|GOBIERNO REGIONAL DE PIURA - GERENCIA SUBREGIONAL  LUCIANO CASTILLO COLONNA|PIURA|SULLANA|SULLANA|893|10552|Activo|17/07/13
20276247078|GOBIERNO REGIONAL DE PIURA - HOSPITAL DE APOYO I NUESTRA SEÑORA DE LAS MERCEDES|PIURA|PAITA|PAITA|1117|200028|Activo|26/09/15
20526489391|GOBIERNO REGIONAL DE PIURA - INSTITUTOS SUPERIORES DE EDUCACION PUBLICA REGIONAL DE PIURA|PIURA|TALARA|PARIÑAS|1356|200408|Activo|01/03/21
20154477536|GOBIERNO REGIONAL DE PIURA - PROYECTO ESPECIAL CHIRA PIURA|PIURA|PIURA|PIURA|1141|10352|Activo|28/09/15
20525662404|GOBIERNO REGIONAL DE PIURA - PROYECTO ESPECIAL DE IRRIGACION HIDROENERGETICO DEL ALTO PIURA|PIURA|MORROPON|CHULUCANAS|1283|200249|Activo|17/07/13
20484167720|GOBIERNO REGIONAL DE PIURA - UNIDAD DE GESTION EDUCATIVA LOCAL AYABACA|PIURA|AYABACA|AYABACA|1398|200397|Activo|17/07/13
20526012071|GOBIERNO REGIONAL DE PIURA - UNIDAD DE GESTION EDUCATIVA LOCAL DE HUANCABAMBA|PIURA|HUANCABAMBA|HUANCABAMBA|1513|200823|Activo|28/02/14
20526414978|GOBIERNO REGIONAL DE PIURA - UNIDAD DE GESTION EDUCATIVA LOCAL DE MORROPON |PIURA|MORROPON|MORROPON|1397|200400|Activo|17/07/13
20526417641|GOBIERNO REGIONAL DE PIURA - UNIDAD DE GESTION EDUCATIVA LOCAL DE PAITA|PIURA|PAITA|PAITA|1395|200399|Activo|11/11/15
20484249882|GOBIERNO REGIONAL DE PIURA - UNIDAD DE GESTION EDUCATIVA LOCAL DE TALARA|PIURA|TALARA|PARIÑAS|1396|200481|Activo|17/07/13
20530064779|GOBIERNO REGIONAL DE PIURA - UNIDAD DE GESTION EDUCATIVA LOCAL HUARMACA|PIURA|HUANCABAMBA|HUARMACA|1532|200862|Activo|16/12/15
20316055631|GOBIERNO REGIONAL DE PIURA - UNIDAD DE GESTION EDUCATIVA LOCAL- SULLANA|PIURA|SULLANA|SULLANA|898|10557|Activo|17/07/13
